locality,apartment_type,bhk,floor,rent
Mathara,Flat,1,1.0,7500
Beach Road,Flat,2,1.0,21000
Bilathikulam,Flat,2,6.0,19000
Malaparamba,Apartment,2,9.0,16500
Koduvally,Apartment,3,8.0,19500
Puthiyara,Apartment,2,5.0,20000
Koyilandy Road,Flat,2,0.0,14500
Chevayur,Apartment,2,1.0,20000
Koyilandy Road,Apartment,3,12.0,24500
Palayam,Villa,2,,29500
Mavoor Road,Apartment,2,8.0,23500
Nadakkavu,Flat,1,5.0,10000
Nadakkavu,Apartment,2,6.0,20500
Panniyankara,Villa,3,,36000
Malaparamba,Apartment,2,8.0,15500
Medical College,Flat,1,2.0,10500
Malaparamba,Apartment,2,15.0,17500
Chevayur,Flat,2,6.0,19000
Mathara,Flat,3,2.0,25000
Thondayad,Apartment,4,8.0,42500
Calicut University,Apartment,3,2.0,35500
Thondayad,Flat,1,6.0,9000
Kuthiravattom,Flat,2,5.0,13500
Koduvally,Apartment,2,4.0,13000
Eranhipalam,Apartment,3,11.0,29000
Chevayur,Flat,2,5.0,19500
Calicut University,Villa,2,,30000
Puthiyara,House,4,,55500
Malaparamba,Apartment,4,14.0,40500
Kuthiravattom,Flat,2,6.0,14000
Medical College,Apartment,2,6.0,23000
Mathara,Flat,1,2.0,8500
Balussery,Apartment,2,9.0,12500
Palayam,Apartment,2,12.0,20500
Bilathikulam,Apartment,3,15.0,30000
Koyilandy Road,Flat,2,8.0,15500
Balussery,Apartment,2,1.0,13000
Palayam,Flat,3,1.0,31500
Mavoor Road,Apartment,1,3.0,13000
Chevayur,Flat,1,0.0,9500
Eranhipalam,Apartment,2,5.0,19000
Mathara,Apartment,1,15.0,9000
Puthiyara,Apartment,3,3.0,30500
Kuthiravattom,Flat,1,2.0,7500
Medical College,Flat,3,7.0,35000
Puthiyara,Flat,1,1.0,10500
Beach Road,Flat,1,2.0,11500
Kuthiravattom,Apartment,1,15.0,9000
Thondayad,Apartment,2,4.0,17500
Panniyankara,Apartment,1,14.0,7500
Feroke,Apartment,1,15.0,7500
Malaparamba,Flat,1,1.0,9000
Kuthiravattom,Flat,2,8.0,13500
Beach Road,Villa,3,,55000
Panniyankara,Apartment,3,3.0,23500
Puthiyara,House,2,,22000
Koduvally,Flat,2,0.0,10500
Kottuli,Villa,1,,11500
Nadakkavu,Flat,1,1.0,10000
Chevayur,Flat,1,3.0,9500
Koyilandy Road,Flat,1,1.0,9000
Panniyankara,Apartment,2,15.0,14000
Palayam,Apartment,3,8.0,33000
Mathara,Apartment,3,10.0,25000
Ulliyeri,Villa,2,,16500
Nadakkavu,House,2,,21000
Chevayur,Apartment,2,2.0,20000
Chevayur,Flat,3,3.0,29500
Ulliyeri,Flat,2,4.0,11000
Thondayad,Apartment,2,6.0,16500
Koyilandy Road,Flat,4,1.0,34500
Puthiyara,House,3,,34500
Calicut University,Apartment,1,8.0,11000
Nadakkavu,Apartment,2,6.0,19500
Puthiyara,Villa,2,,27500
Eranhipalam,Apartment,1,7.0,10000
Chevayur,Apartment,2,0.0,20000
Bilathikulam,Apartment,3,0.0,27500
Nadakkavu,House,3,,40000
Koduvally,Flat,2,2.0,11000
Nadakkavu,Villa,3,,45000
Palayam,Flat,1,5.0,10500
Calicut University,Flat,2,4.0,21500
Mankave,Apartment,1,1.0,9000
Beach Road,Flat,2,2.0,20500
Koyilandy Road,House,3,,33500
Calicut University,House,1,,13000
Palayam,Apartment,2,13.0,19000
Koyilandy Road,Flat,1,3.0,8500
Mankave,Apartment,2,6.0,15500
Koduvally,Flat,3,0.0,17500
Beach Road,Apartment,1,2.0,12500
Mathara,Flat,4,7.0,32500
Koyilandy Road,Flat,4,1.0,38500
Kottuli,Apartment,2,4.0,13500
Eranhipalam,Flat,4,2.0,40500
Malaparamba,Villa,2,,26000
Balussery,Flat,3,3.0,18000
Vellimadukunnu,Flat,2,4.0,14500
Calicut University,Villa,2,,29500
Bilathikulam,Apartment,3,1.0,30500
Chevayur,Flat,2,6.0,17000
Kunnamangalam,Villa,3,,25000
Chevayur,Flat,3,0.0,27000
Chevayur,Flat,3,8.0,31500
Mankave,Flat,1,3.0,8500
Puthiyara,Apartment,3,2.0,30000
Eranhipalam,Flat,2,1.0,16500
Chevayur,Apartment,2,2.0,19500
Chevayur,Villa,1,,15500
Kottuli,House,2,,17000
Balussery,Flat,3,3.0,19500
Bilathikulam,House,2,,22000
Panniyankara,Villa,3,,35500
Calicut University,Apartment,2,2.0,23500
Mankave,Apartment,3,10.0,27500
Beach Road,Flat,2,5.0,20500
Chevayur,Apartment,2,15.0,18000
Chevayur,Apartment,1,15.0,11500
Chevayur,Flat,2,3.0,17500
Bilathikulam,Flat,1,0.0,9000
Ulliyeri,Apartment,1,14.0,6000
Panniyankara,Villa,3,,37500
Palayam,Flat,1,7.0,9500
Mathara,Apartment,2,10.0,15500
Kunnamangalam,Apartment,1,11.0,5500
Balussery,Apartment,3,0.0,21000
Bilathikulam,Apartment,1,8.0,10000
Chevayur,Apartment,3,4.0,30500
Koduvally,Apartment,3,7.0,21500
Feroke,House,4,,38500
Palayam,Flat,3,5.0,34000
Kuthiravattom,Flat,1,5.0,8500
Balussery,Flat,2,6.0,11500
Palayam,Apartment,2,14.0,21000
Panniyankara,Apartment,1,9.0,8000
Mankave,Flat,2,8.0,15500
Beach Road,Flat,2,3.0,23000
Thondayad,Flat,2,7.0,16000
Eranhipalam,Villa,3,,46000
Calicut University,Apartment,3,13.0,32500
Nadakkavu,Apartment,2,14.0,18500
Palayam,Villa,1,,16500
Balussery,Apartment,2,3.0,13500
Palayam,Apartment,4,13.0,46000
Chevayur,Apartment,4,4.0,45500
Puthiyara,Apartment,1,2.0,11000
Palayam,Apartment,3,1.0,35000
Koyilandy Road,Apartment,3,3.0,27500
Mathara,Apartment,1,0.0,8500
Nadakkavu,Apartment,3,11.0,32000
Kottuli,Apartment,2,8.0,14000
Feroke,Villa,2,,19500
Mukkam,Apartment,1,4.0,7000
Kottuli,Flat,4,1.0,33000
Nadakkavu,Flat,2,5.0,20000
Koyilandy Road,Villa,3,,39000
Vellimadukunnu,Apartment,2,12.0,14500
Vellimadukunnu,Apartment,2,11.0,14000
Koyilandy Road,Flat,4,1.0,35500
Puthiyara,Apartment,1,12.0,10500
Balussery,Flat,1,7.0,7000
Beach Road,Apartment,1,13.0,11500
Puthiyara,Apartment,2,6.0,19000
Calicut University,Apartment,1,6.0,11500
Thondayad,Flat,2,3.0,16000
Nadakkavu,Apartment,2,0.0,18000
Mavoor Road,Apartment,1,6.0,13000
Koyilandy Road,Apartment,2,5.0,16500
Eranhipalam,Villa,3,,46500
Vellimadukunnu,Flat,2,1.0,14000
Nadakkavu,Apartment,3,11.0,33000
Feroke,Flat,3,1.0,20000
Puthiyara,Flat,3,0.0,26500
Puthiyara,Apartment,2,9.0,18000
Vellimadukunnu,Flat,2,1.0,12500
Beach Road,Apartment,2,13.0,22500
Medical College,Flat,1,3.0,10500
Medical College,Flat,3,5.0,36500
Kuthiravattom,Apartment,3,7.0,26000
Eranhipalam,Flat,2,8.0,16000
Mathara,Apartment,3,13.0,25500
Kunnamangalam,Flat,2,6.0,11000
Bilathikulam,Flat,1,3.0,9000
Bilathikulam,Flat,2,4.0,16500
Chevayur,Villa,2,,26500
Calicut University,Apartment,2,7.0,20000
Thondayad,Flat,1,7.0,8500
Mavoor Road,Villa,2,,32000
Vellimadukunnu,Flat,1,6.0,7500
Thondayad,Apartment,2,14.0,16500
Koyilandy Road,Flat,1,5.0,8000
Mavoor Road,Apartment,1,15.0,12000
Palayam,Apartment,2,7.0,20500
Panniyankara,Apartment,2,7.0,15500
Calicut University,Flat,2,8.0,18500
Beach Road,Flat,3,8.0,35500
Beach Road,Apartment,2,8.0,24500
Bilathikulam,Flat,1,8.0,9000
Nadakkavu,Flat,3,4.0,30500
Panniyankara,Flat,2,1.0,12500
Balussery,Flat,1,0.0,6500
Feroke,Villa,2,,20500
Kottuli,Apartment,2,3.0,14000
Puthiyara,Apartment,1,8.0,9500
Thiruvannur,Apartment,3,12.0,19000
Mavoor Road,Flat,2,7.0,19000
Mavoor Road,Flat,3,5.0,33500
Medical College,House,1,,14500
Kottuli,Flat,1,8.0,6500
Panniyankara,Villa,2,,21500
Beach Road,Apartment,1,14.0,12000
Calicut University,Villa,1,,17000
Puthiyara,Villa,2,,30000
Chevayur,House,3,,35500
Panniyankara,Flat,1,4.0,8500
Mavoor Road,Flat,3,6.0,37000
Chevayur,Apartment,2,8.0,20000
Kottuli,Flat,3,6.0,21000
Thondayad,Apartment,2,0.0,16500
Eranhipalam,Apartment,2,12.0,18500
Koyilandy Road,Villa,3,,40000
Chevayur,Flat,2,4.0,17500
Thiruvannur,Apartment,2,1.0,12000
Kottuli,Flat,3,0.0,20000
Bilathikulam,Apartment,2,13.0,18500
Thondayad,Apartment,2,10.0,17000
Koyilandy Road,Apartment,2,2.0,15500
Koyilandy Road,Apartment,2,3.0,17500
Bilathikulam,Apartment,1,9.0,10000
Mankave,Apartment,2,5.0,17500
Thondayad,Apartment,1,5.0,9500
Palayam,Apartment,1,13.0,11000
Mukkam,Apartment,2,5.0,13000
Thondayad,House,2,,20500
Chevayur,Villa,3,,48500
Eranhipalam,Flat,2,8.0,17500
Bilathikulam,Flat,2,7.0,17500
Panniyankara,House,1,,10000
Malaparamba,Apartment,3,12.0,25500
Bilathikulam,Apartment,3,7.0,30000
Mavoor Road,Villa,2,,30500
Kottuli,House,1,,9000
Koyilandy Road,Apartment,1,15.0,8500
Beach Road,Flat,2,6.0,23000
Koyilandy Road,Flat,1,7.0,8500
Kunnamangalam,Villa,3,,27000
Thondayad,Flat,3,7.0,27500
Puthiyara,Flat,3,3.0,28000
Panniyankara,Flat,2,1.0,15000
Mathara,Apartment,1,5.0,9000
Palayam,Villa,1,,17000
Nadakkavu,Flat,1,4.0,10000
Nadakkavu,Flat,3,2.0,29500
Chevayur,Villa,3,,44000
Bilathikulam,Apartment,2,7.0,17000
Beach Road,Flat,2,2.0,23000
Medical College,Apartment,2,5.0,21500
Kottuli,Flat,3,4.0,21500
Kunnamangalam,Flat,2,8.0,10500
Calicut University,Apartment,2,13.0,21500
Kunnamangalam,Villa,1,,9000
Eranhipalam,Flat,2,2.0,16500
Nadakkavu,Apartment,3,2.0,33500
Kuthiravattom,Villa,2,,23500
Mavoor Road,Apartment,2,12.0,21000
Balussery,Flat,2,8.0,11000
Calicut University,Flat,3,7.0,31500
Medical College,Apartment,2,11.0,21000
Koyilandy Road,Apartment,2,13.0,17000
Mathara,Apartment,1,7.0,8500
Koyilandy Road,Apartment,3,10.0,28000
Medical College,Apartment,3,9.0,36500
Koyilandy Road,Apartment,2,15.0,15500
Bilathikulam,Apartment,3,13.0,31500
Puthiyara,Apartment,2,3.0,18000
Eranhipalam,Villa,3,,47000
Mankave,Apartment,3,3.0,28000
Kunnamangalam,Flat,2,5.0,11500
Ulliyeri,Apartment,2,0.0,10500
Vellimadukunnu,Apartment,1,15.0,7500
Thondayad,Apartment,2,4.0,17500
Kottuli,Flat,3,7.0,22000
Thiruvannur,Apartment,3,5.0,20500
Balussery,House,1,,8500
Eranhipalam,Apartment,3,14.0,31000
Bilathikulam,Apartment,1,12.0,10500
Mukkam,Apartment,2,7.0,13000
Vellimadukunnu,Apartment,2,10.0,15000
Thiruvannur,Apartment,2,10.0,11500
Feroke,Flat,2,8.0,13000
Nadakkavu,Flat,2,2.0,18500
Vellimadukunnu,Flat,2,1.0,14000
Panniyankara,Apartment,1,12.0,8500
Koyilandy Road,Villa,2,,23000
Medical College,Flat,4,6.0,51000
Balussery,Apartment,2,4.0,14000
Kunnamangalam,Flat,1,6.0,5500
Beach Road,Flat,1,2.0,12000
Puthiyara,Apartment,1,0.0,10000
Bilathikulam,Flat,1,8.0,9500
Beach Road,Flat,1,2.0,12500
Mavoor Road,House,2,,26000
Thondayad,Apartment,4,11.0,39000
Mankave,Villa,3,,37000
Kuthiravattom,Apartment,2,4.0,16500
Eranhipalam,Apartment,3,1.0,31000
Mavoor Road,Apartment,2,8.0,22500
Mavoor Road,Apartment,2,7.0,21500
Puthiyara,Flat,1,4.0,9500
Mukkam,Apartment,2,0.0,12500
Thondayad,House,4,,50500
Panniyankara,Flat,2,0.0,12500
Thiruvannur,Villa,4,,40500
Medical College,Apartment,2,8.0,23000
Kunnamangalam,Apartment,1,3.0,6000
Puthiyara,Apartment,1,5.0,11500
Thondayad,Apartment,2,6.0,17500
Malaparamba,House,4,,46500
Kunnamangalam,Flat,1,5.0,6000
Medical College,Apartment,2,14.0,23000
Puthiyara,Flat,2,0.0,16000
Bilathikulam,House,2,,22000
Calicut University,House,2,,23500
Nadakkavu,House,1,,12000
Thondayad,Flat,2,8.0,14500
Koyilandy Road,Apartment,1,11.0,9000
Bilathikulam,Apartment,1,9.0,10500
Beach Road,Flat,3,1.0,34000
Mankave,Flat,2,4.0,16500
Thondayad,Flat,2,0.0,15000
Thondayad,Apartment,3,10.0,26500
Puthiyara,Apartment,2,1.0,18000
Chevayur,Apartment,1,5.0,11000
Beach Road,Villa,3,,53000
Eranhipalam,Flat,3,1.0,26000
Thondayad,Apartment,3,13.0,28000
Chevayur,Apartment,2,6.0,21000
Bilathikulam,Villa,2,,25000
Nadakkavu,Flat,3,4.0,33000
Beach Road,Flat,3,5.0,34500
Koduvally,Apartment,2,15.0,13000
Chevayur,Apartment,3,0.0,28500
Chevayur,Flat,3,1.0,30500
Chevayur,Villa,3,,47500
Koyilandy Road,Flat,2,1.0,14500
Bilathikulam,Villa,2,,29500
Bilathikulam,Apartment,2,13.0,18500
Vellimadukunnu,House,2,,16000
Malaparamba,Apartment,2,3.0,16000
Mavoor Road,Apartment,1,11.0,11500
Koyilandy Road,Flat,2,5.0,15500
Panniyankara,Apartment,2,12.0,13500
Puthiyara,House,1,,12000
Chevayur,Apartment,1,2.0,10500
Nadakkavu,Apartment,3,2.0,31500
Thondayad,Flat,3,4.0,27000
Kuthiravattom,House,4,,45000
Malaparamba,Flat,1,7.0,8000
Kuthiravattom,Apartment,1,3.0,8500
Malaparamba,Apartment,3,4.0,30500
Kottuli,Apartment,2,3.0,13500
Mathara,Flat,3,6.0,24500
Koyilandy Road,Apartment,2,3.0,16500
Mathara,Flat,2,5.0,15500
Kottuli,Apartment,3,3.0,23000
Koyilandy Road,Apartment,1,9.0,8500
Beach Road,House,2,,25000
Feroke,Apartment,3,7.0,23000
Mankave,Flat,2,0.0,14000
Chevayur,Flat,2,1.0,18000
Thiruvannur,Apartment,2,4.0,12000
Kottuli,Flat,2,3.0,13500
Beach Road,Apartment,1,12.0,12500
Beach Road,Flat,2,0.0,21500
Chevayur,Flat,3,7.0,27500
Mankave,Apartment,2,6.0,17000
Balussery,Flat,2,1.0,11500
Mathara,Flat,2,2.0,14500
Bilathikulam,Flat,3,2.0,30500
Mukkam,Flat,2,1.0,12000
Feroke,Villa,2,,18500
Palayam,Villa,3,,51000
Koduvally,Flat,3,0.0,18500
Medical College,Flat,2,6.0,22500
Panniyankara,House,3,,30000
Panniyankara,Villa,1,,12000
Koduvally,Flat,4,4.0,27500
Bilathikulam,Flat,2,1.0,18000
Kuthiravattom,Apartment,2,8.0,15000
Vellimadukunnu,Apartment,2,1.0,15000
Balussery,Villa,2,,19500
Bilathikulam,House,1,,12500
Mankave,Flat,1,8.0,7500
Thiruvannur,Apartment,1,2.0,6500
Ulliyeri,Villa,4,,41500
Vellimadukunnu,Apartment,1,7.0,8000
Malaparamba,House,2,,19000
Thiruvannur,Flat,3,8.0,18000
Calicut University,Flat,2,3.0,21000
Calicut University,House,3,,40500
Kottuli,Villa,2,,21500
Thiruvannur,Villa,1,,9000
Calicut University,Apartment,2,11.0,21000
Koyilandy Road,Apartment,2,11.0,16000
Nadakkavu,Flat,3,3.0,32500
Kuthiravattom,Apartment,3,11.0,25000
Panniyankara,Apartment,1,1.0,7500
Mukkam,Flat,3,6.0,19500
Mathara,Flat,2,2.0,14000
Kuthiravattom,Villa,3,,37500
Eranhipalam,Apartment,2,6.0,18500
Nadakkavu,Villa,2,,30000
Beach Road,Apartment,3,7.0,38500
Malaparamba,Flat,1,2.0,9000
Beach Road,Apartment,2,8.0,24000
Vellimadukunnu,Apartment,2,14.0,13500
Mavoor Road,House,2,,26500
Panniyankara,Apartment,3,1.0,23000
Panniyankara,Apartment,2,15.0,13500
Mukkam,Flat,3,2.0,21500
Eranhipalam,Flat,3,0.0,25000
Nadakkavu,Flat,2,7.0,17500
Medical College,Villa,4,,77000
Thiruvannur,Apartment,2,9.0,11500
Malaparamba,Flat,3,1.0,23500
Vellimadukunnu,Flat,3,5.0,24500
Koyilandy Road,House,3,,33000
Mankave,Apartment,4,3.0,39500
Thondayad,Apartment,3,11.0,28500
Kuthiravattom,Flat,2,1.0,13000
Calicut University,Apartment,1,11.0,11500
Koduvally,Flat,2,0.0,10500
Nadakkavu,Flat,4,6.0,44000
Kuthiravattom,Flat,2,2.0,14000
Palayam,Apartment,2,14.0,20000
Medical College,Flat,2,4.0,22000
Beach Road,Flat,2,7.0,22000
Beach Road,House,2,,25500
Mankave,Flat,1,8.0,7500
Vellimadukunnu,Apartment,1,12.0,8000
Koduvally,Apartment,2,15.0,12500
Kottuli,Flat,3,6.0,21500
Puthiyara,Flat,2,5.0,17500
Feroke,Villa,2,,21000
Eranhipalam,Apartment,3,3.0,29500
Eranhipalam,Apartment,2,8.0,18000
Chevayur,Flat,1,7.0,9500
Nadakkavu,Apartment,2,7.0,19000
Medical College,Apartment,3,8.0,34000
Beach Road,Villa,1,,17500
Thiruvannur,Flat,4,6.0,26000
Koyilandy Road,Villa,1,,13000
Balussery,Flat,2,4.0,12000
Kunnamangalam,Flat,1,6.0,6000
Mankave,Apartment,2,6.0,16000
Bilathikulam,Apartment,2,12.0,18500
Malaparamba,Apartment,1,3.0,9000
Koyilandy Road,Flat,3,2.0,24500
Palayam,Flat,2,3.0,19500
Kottuli,Flat,1,8.0,6500
Thondayad,Flat,3,1.0,28000
Calicut University,Apartment,3,6.0,34500
Panniyankara,Flat,2,5.0,13500
Thiruvannur,Apartment,2,13.0,12500
Koyilandy Road,Apartment,4,10.0,36000
Thondayad,Apartment,3,11.0,28500
Kunnamangalam,Villa,3,,25000
Beach Road,House,1,,15000
Medical College,Apartment,1,11.0,11500
Panniyankara,Apartment,3,5.0,24500
Vellimadukunnu,Apartment,2,9.0,14000
Malaparamba,Apartment,1,12.0,9000
Feroke,Apartment,3,4.0,24000
Malaparamba,Apartment,2,0.0,15000
Thondayad,Apartment,2,5.0,17000
Nadakkavu,Apartment,3,3.0,34500
Vellimadukunnu,Apartment,2,11.0,15000
Eranhipalam,Apartment,3,13.0,28000
Kottuli,Villa,3,,33500
Vellimadukunnu,Flat,2,3.0,13000
Eranhipalam,Apartment,3,2.0,31000
Vellimadukunnu,Flat,1,7.0,7000
Thondayad,Apartment,1,8.0,9000
Puthiyara,House,1,,12500
Puthiyara,Flat,4,1.0,42500
Malaparamba,Flat,3,5.0,28000
Balussery,Apartment,3,4.0,23000
Thiruvannur,Villa,2,,17500
Mukkam,Flat,3,7.0,19500
Vellimadukunnu,Apartment,1,7.0,8000
Malaparamba,Flat,2,1.0,14500
Kunnamangalam,Apartment,3,3.0,18000
Bilathikulam,Apartment,2,14.0,19000
Panniyankara,Flat,2,4.0,15000
Mankave,Villa,3,,38000
Chevayur,Flat,1,1.0,10000
Panniyankara,Apartment,2,12.0,15000
Kuthiravattom,Apartment,4,10.0,35000
Kottuli,Apartment,1,11.0,8000
Kottuli,Apartment,2,13.0,13500
Palayam,Apartment,1,4.0,11500
Kunnamangalam,Flat,2,7.0,10000
Chevayur,Flat,2,7.0,18000
Eranhipalam,Apartment,2,11.0,18000
Feroke,Flat,2,6.0,12500
Medical College,Villa,1,,18500
Malaparamba,Apartment,1,3.0,9500
Malaparamba,Apartment,2,10.0,17000
Eranhipalam,Apartment,3,11.0,31000
Panniyankara,Apartment,2,14.0,14000
Kottuli,Apartment,3,4.0,24500
Vellimadukunnu,House,2,,16000
Mavoor Road,Flat,3,4.0,37000
Calicut University,House,3,,38500
Mathara,Apartment,2,8.0,15500
Mankave,Apartment,1,9.0,8500
Kunnamangalam,Apartment,2,6.0,11500
Eranhipalam,Flat,1,3.0,9500
Mavoor Road,Flat,1,1.0,10500
Mukkam,Flat,3,8.0,20500
Kunnamangalam,Apartment,2,15.0,11500
Kuthiravattom,Apartment,1,7.0,9000
Ulliyeri,Apartment,3,14.0,18500
Feroke,Flat,1,4.0,7000
Mavoor Road,Villa,1,,18000
Mathara,Apartment,2,5.0,15000
Eranhipalam,Apartment,2,3.0,18500
Palayam,Villa,2,,29000
Bilathikulam,Apartment,4,13.0,46500
Koyilandy Road,Apartment,1,10.0,9500
Puthiyara,Apartment,3,8.0,31000
Mavoor Road,Villa,2,,35000
Kuthiravattom,Apartment,2,1.0,15500
Mathara,Flat,2,3.0,15500
Chevayur,Flat,3,0.0,28000
Kottuli,Apartment,3,1.0,24000
Kottuli,Flat,4,1.0,31000
Palayam,Apartment,2,3.0,19000
Vellimadukunnu,Flat,2,0.0,13500
Bilathikulam,Flat,2,7.0,15500
Palayam,Apartment,1,3.0,10500
Koyilandy Road,Flat,3,7.0,23500
Panniyankara,House,1,,9000
Palayam,Apartment,3,11.0,34000
Mavoor Road,Villa,1,,19000
Calicut University,Flat,2,8.0,18500
Medical College,House,1,,13000
Panniyankara,Flat,2,7.0,14000
Palayam,Flat,3,7.0,28000
Puthiyara,Apartment,2,1.0,19500
Bilathikulam,Apartment,4,7.0,43500
Palayam,Flat,1,8.0,9500
Panniyankara,Apartment,2,2.0,15000
Mankave,Apartment,1,13.0,9000
Calicut University,Flat,2,2.0,18500
Kottuli,Apartment,2,9.0,14000
Thondayad,Apartment,3,12.0,29000
Palayam,House,1,,14000
Thondayad,Flat,3,0.0,23500
Mukkam,Flat,2,5.0,13000
Medical College,Apartment,1,14.0,12500
Puthiyara,House,1,,12000
Balussery,Flat,2,8.0,10500
Kuthiravattom,Apartment,2,15.0,16000
Beach Road,Flat,1,5.0,12000
Thondayad,Apartment,2,15.0,15500
Kunnamangalam,Apartment,2,2.0,11000
Malaparamba,Apartment,3,8.0,25500
Kuthiravattom,Flat,3,4.0,23000
Nadakkavu,Apartment,1,3.0,10000
Kuthiravattom,Apartment,2,12.0,16000
Mathara,House,1,,10000
Kottuli,Villa,2,,21000
Malaparamba,Flat,2,0.0,14000
Calicut University,Flat,1,1.0,12000
Mavoor Road,Villa,2,,30500
Bilathikulam,Flat,2,3.0,18000
Malaparamba,Apartment,2,7.0,16500
Beach Road,Apartment,1,15.0,12500
Nadakkavu,House,3,,40500
Mathara,Apartment,2,11.0,15000
Thiruvannur,Apartment,2,3.0,12000
Chevayur,Apartment,2,3.0,18500
Malaparamba,Apartment,3,15.0,27500
Nadakkavu,Apartment,1,8.0,11000
Panniyankara,Flat,3,3.0,22500
Vellimadukunnu,Apartment,3,6.0,23000
Vellimadukunnu,Apartment,2,2.0,13500
Medical College,Flat,1,1.0,11500
Puthiyara,Apartment,2,1.0,20000
Eranhipalam,Apartment,1,3.0,10000
Chevayur,House,2,,21000
Mankave,Flat,1,8.0,8000
Palayam,Villa,3,,47500
Balussery,Apartment,4,11.0,30000
Palayam,Villa,3,,47500
Malaparamba,Apartment,3,2.0,29000
Balussery,Apartment,3,9.0,22000
Calicut University,Apartment,1,5.0,12000
Puthiyara,Apartment,3,13.0,33000
Eranhipalam,Flat,2,8.0,16500
Nadakkavu,Apartment,2,3.0,18500
Kottuli,Flat,2,7.0,13500
Kottuli,Flat,3,2.0,22500
Eranhipalam,Villa,2,,26500
Panniyankara,Flat,3,8.0,21000
Eranhipalam,Apartment,4,9.0,45500
Panniyankara,Apartment,3,3.0,23000
Mathara,Apartment,2,8.0,14500
Thondayad,Apartment,1,11.0,8500
Mavoor Road,Apartment,2,3.0,21000
Mukkam,House,2,,15500
Palayam,Flat,2,5.0,19000
Nadakkavu,Flat,3,4.0,32500
Mukkam,Apartment,2,7.0,12000
Panniyankara,Villa,1,,12500
Mavoor Road,Apartment,1,6.0,13000
Mathara,Apartment,3,9.0,25000
Malaparamba,Apartment,2,13.0,15500
Medical College,Apartment,2,8.0,21500
Bilathikulam,Flat,3,6.0,30000
Feroke,Flat,3,2.0,21000
Ulliyeri,Flat,3,3.0,17000
Ulliyeri,House,2,,13000
Chevayur,Apartment,2,0.0,18500
Thondayad,Apartment,1,8.0,9000
Kottuli,Flat,2,4.0,12500
Koduvally,Flat,2,4.0,12500
Kottuli,Apartment,2,5.0,14500
Balussery,Flat,2,5.0,12000
Nadakkavu,Flat,3,6.0,32500
Feroke,Apartment,1,6.0,8000
Koyilandy Road,Villa,3,,36500
Malaparamba,Flat,1,4.0,9500
Bilathikulam,Apartment,4,6.0,45000
Vellimadukunnu,Flat,2,0.0,12000
Thondayad,House,3,,33500
Koduvally,Apartment,2,15.0,12500
Medical College,Flat,1,6.0,11500
Vellimadukunnu,Flat,1,5.0,8000
Mankave,Apartment,2,5.0,17000
Mathara,House,2,,17500
Eranhipalam,House,3,,32000
Palayam,Villa,1,,17500
Nadakkavu,Apartment,2,6.0,19500
Calicut University,Apartment,2,14.0,20500
Nadakkavu,Villa,3,,46500
Bilathikulam,Apartment,3,6.0,31500
Thondayad,Villa,2,,25000
Beach Road,Villa,2,,33500
Chevayur,Flat,2,2.0,18500
Eranhipalam,Apartment,2,13.0,17500
Kottuli,Villa,3,,33000
Feroke,Villa,2,,19500
Calicut University,Flat,2,6.0,20000
Mathara,Apartment,3,14.0,26500
Panniyankara,Apartment,1,12.0,8000
Calicut University,Flat,3,1.0,31500
Ulliyeri,Apartment,2,9.0,12500
Puthiyara,Flat,3,4.0,30000
Nadakkavu,Apartment,1,8.0,11000
Eranhipalam,Apartment,1,15.0,9000
Koyilandy Road,Apartment,1,9.0,9500
Ulliyeri,Apartment,1,14.0,6000
Medical College,Flat,3,0.0,33000
Medical College,Flat,3,1.0,31000
Kottuli,Apartment,3,6.0,23000
Kuthiravattom,Apartment,3,12.0,26500
Puthiyara,Apartment,2,10.0,19000
Vellimadukunnu,Flat,2,3.0,13500
Calicut University,Apartment,1,5.0,13000
Puthiyara,Flat,2,7.0,16000
Medical College,Flat,3,6.0,34000
Medical College,Apartment,2,14.0,20500
Thondayad,House,2,,21000
Nadakkavu,Apartment,2,3.0,19500
Mankave,Apartment,3,10.0,27500
Koyilandy Road,Apartment,3,12.0,24500
Malaparamba,Apartment,1,14.0,10000
Puthiyara,Flat,1,6.0,9500
Kottuli,Apartment,4,8.0,33000
Mathara,Flat,2,8.0,14000
Eranhipalam,Apartment,3,13.0,27500
Chevayur,Apartment,3,9.0,30500
Bilathikulam,House,2,,21500
Panniyankara,Flat,2,3.0,13500
Puthiyara,House,2,,22000
Kuthiravattom,Apartment,3,15.0,26500
Kuthiravattom,Apartment,2,2.0,16000
Koyilandy Road,Apartment,3,2.0,27000
Panniyankara,Apartment,1,7.0,8500
Puthiyara,Villa,2,,29500
Puthiyara,Apartment,2,11.0,19500
Medical College,Flat,2,5.0,22000
Medical College,Villa,1,,18000
Bilathikulam,Flat,4,0.0,40000
Eranhipalam,Flat,1,3.0,9000
Nadakkavu,House,2,,23500
Kottuli,Flat,2,8.0,13000
Beach Road,Flat,1,4.0,11500
Koduvally,Villa,2,,17500
Mavoor Road,Apartment,1,6.0,13000
Mavoor Road,Apartment,3,3.0,35000
Puthiyara,House,3,,36000
Malaparamba,Apartment,3,13.0,25500
Thondayad,Apartment,1,5.0,10500
Calicut University,Apartment,1,11.0,11500
Vellimadukunnu,Flat,2,6.0,14500
Thondayad,Flat,2,4.0,17500
Thondayad,Flat,2,8.0,16500
